rank,name,year,rating,genre,certificate,run_time,decade,runtime_bin
1,The Shawshank Redemption,1994,9.3,Drama,R,142,1990,"(120.0, 150.0]"
2,The Godfather,1972,9.2,"Crime,Drama",R,175,1970,"(150.0, 180.0]"
3,The Dark Knight,2008,9.0,"Action,Crime,Drama",PG-13,152,2000,"(150.0, 180.0]"
4,The Godfather Part II,1974,9.0,"Crime,Drama",R,202,1970,"(180.0, inf]"
5,12 Angry Men,1957,9.0,"Crime,Drama",Not Rated,96,1950,"(90.0, 120.0]"
6,Schindler's List,1993,9.0,"Biography,Drama,History",R,195,1990,"(180.0, inf]"
7,The Lord of the Rings: The Return of the King,2003,9.0,"Action,Adventure,Drama",PG-13,201,2000,"(180.0, inf]"
8,Pulp Fiction,1994,8.9,"Crime,Drama",R,154,1990,"(150.0, 180.0]"
9,The Lord of the Rings: The Fellowship of the Ring,2001,8.8,"Action,Adventure,Drama",PG-13,178,2000,"(150.0, 180.0]"
10,"The Good, the Bad and the Ugly",1966,8.8,"Adventure,Western",Not Rated,178,1960,"(150.0, 180.0]"
11,Forrest Gump,1994,8.8,"Drama,Romance",PG-13,142,1990,"(120.0, 150.0]"
12,Fight Club,1999,8.8,Drama,R,139,1990,"(120.0, 150.0]"
13,The Lord of the Rings: The Two Towers,2002,8.8,"Action,Adventure,Drama",PG-13,179,2000,"(150.0, 180.0]"
14,Inception,2010,8.8,"Action,Adventure,Sci-Fi",PG-13,148,2010,"(120.0, 150.0]"
15,Star Wars: Episode V - The Empire Strikes Back,1980,8.7,"Action,Adventure,Fantasy",PG,124,1980,"(120.0, 150.0]"
16,The Matrix,1999,8.7,"Action,Sci-Fi",R,136,1990,"(120.0, 150.0]"
17,Goodfellas,1990,8.7,"Biography,Crime,Drama",R,145,1990,"(120.0, 150.0]"
18,One Flew Over the Cuckoo's Nest,1975,8.7,Drama,R,133,1970,"(120.0, 150.0]"
19,Se7en,1995,8.6,"Crime,Drama,Mystery",R,127,1990,"(120.0, 150.0]"
20,Seven Samurai,1954,8.6,"Action,Drama",Not Rated,207,1950,"(180.0, inf]"
21,It's a Wonderful Life,1946,8.6,"Drama,Family,Fantasy",PG,130,1940,"(120.0, 150.0]"
22,The Silence of the Lambs,1991,8.6,"Crime,Drama,Thriller",R,118,1990,"(90.0, 120.0]"
23,City of God,2002,8.6,"Crime,Drama",R,130,2000,"(120.0, 150.0]"
24,Saving Private Ryan,1998,8.6,"Drama,War",R,169,1990,"(150.0, 180.0]"
25,Interstellar,2014,8.6,"Adventure,Drama,Sci-Fi",PG-13,169,2010,"(150.0, 180.0]"
26,Life Is Beautiful,1997,8.6,"Comedy,Drama,Romance",PG-13,116,1990,"(90.0, 120.0]"
27,The Green Mile,1999,8.6,"Crime,Drama,Fantasy",R,189,1990,"(180.0, inf]"
28,Star Wars: Episode IV - A New Hope,1977,8.6,"Action,Adventure,Fantasy",PG,121,1970,"(120.0, 150.0]"
29,Terminator 2: Judgment Day,1991,8.6,"Action,Sci-Fi",R,137,1990,"(120.0, 150.0]"
30,Back to the Future,1985,8.5,"Adventure,Comedy,Sci-Fi",PG,116,1980,"(90.0, 120.0]"
31,Spirited Away,2001,8.6,"Animation,Adventure,Family",PG,125,2000,"(120.0, 150.0]"
32,The Pianist,2002,8.5,"Biography,Drama,Music",R,150,2000,"(120.0, 150.0]"
33,Psycho,1960,8.5,"Horror,Mystery,Thriller",R,109,1960,"(90.0, 120.0]"
34,Parasite,2019,8.5,"Drama,Thriller",R,132,2010,"(120.0, 150.0]"
35,Léon: The Professional,1994,8.5,"Action,Crime,Drama",R,110,1990,"(90.0, 120.0]"
36,The Lion King,1994,8.5,"Animation,Adventure,Drama",G,88,1990,"(0.0, 90.0]"
37,Gladiator,2000,8.5,"Action,Adventure,Drama",R,155,2000,"(150.0, 180.0]"
38,American History X,1998,8.5,"Crime,Drama",R,119,1990,"(90.0, 120.0]"
